#al-istihlal,#iraq al-arab,#al-maya,#al-sika,#garibat al-husayn
"E, F, G","E, F, G","B-, A, G","C, D, E","F, E, D"
"G, F, E","C, D, E","E, F, G","A, G","E, F, G"
"C, B, A, G","F, E, D, C","B, D, C","E, F, G","A, G"
"A, G","A, G","A, G","G, E","G, E"
"E, D","D, C","C, E","G, A","B, C, D"
"F, E","C, D","B, C","E, F, D, E","B, D, C, B, A"
"G, F","A, B, C","G, F, E","E, D, C","E, D, C"
"E, F, A, G","F, E","F, G, E, F, E, D, C","G, F, E","C, D, E"
"F, E, D",,,,"G, F, E"
"A, B, C",,,,"E, F, D, E"
"D, C",,,,
"F, E, D, C",,,,
